Time,Size
0.0,884
0.03163623809814453,3317
0.05256462097167969,692
0.09645938873291016,4261
0.12891840934753418,692
0.15170574188232422,5205
0.17206501960754395,692
0.23026156425476074,8021
0.23456239700317383,692
0.27721357345581055,7077
0.29723095893859863,692
0.3508477210998535,692
0.39521288871765137,11222
0.4156911373138428,692
0.4573023319244385,9525
0.4803152084350586,692
0.5151488780975342,11414
0.5371816158294678,692
0.5765585899353027,11590
0.5994575023651123,692
0.6378235816955566,10278
0.6568894386291504,692
0.6912462711334229,9157
0.7119605541229248,692
0.7561333179473877,8213
0.7761383056640625,692
0.8137972354888916,7461
0.8396642208099365,692
0.8779804706573486,8021
0.8961126804351807,692
0.9514729976654053,692
0.9944605827331543,7829
1.0146450996398926,692
1.0567138195037842,6709
1.0801806449890137,692
1.1208305358886719,7653
1.1585149765014648,692
1.1737902164459229,5765
1.1945223808288574,692
1.2485051155090332,8405
1.2522518634796143,1165
1.2591784000396729,692
1.2939839363098145,5397
1.3137798309326172,692
1.3775219917297363,7269
1.37758469581604,29
1.3775920867919922,692
1.4159650802612305,5573
1.4369111061096191,692
1.4804556369781494,9909
1.4904961585998535,692
1.5521552562713623,692
1.593937635421753,7461
1.6145691871643066,692
1.6564040184020996,4645
1.676647424697876,692
1.7130517959594727,5957
1.7351117134094238,692
1.7752413749694824,5397
1.7972807884216309,692
1.8338005542755127,6149
1.8643064498901367,692
1.8965508937835693,5765
1.919814109802246,692
1.9631223678588867,18182
1.974531650543213,692
2.023388147354126,5205
2.0363223552703857,692
2.0803446769714355,5957
2.0946390628814697,692
2.1814124584198,692
2.200507879257202,8773
2.2105600833892822,692
2.2529447078704834,5013
2.2792718410491943,692
2.3128931522369385,8213
2.336331605911255,692
2.3753445148468018,7077
2.404649257659912,692
2.436854839324951,6901
2.4561333656311035,692
2.500746011734009,7269
2.513942003250122,692
2.556189775466919,6709
2.576721429824829,692
2.6126081943511963,6901
2.6361725330352783,692
2.67488169670105,7653
2.6955718994140625,692
2.7590599060058594,692
2.795217514038086,12534
2.816188335418701,692
2.8551032543182373,7829
2.8948631286621094,692
2.9130992889404297,8773
2.9343795776367188,692
2.9773404598236084,7653
2.9925460815429688,413
2.998645067214966,692
3.031299591064453,7829
3.0565714836120605,692
3.0948145389556885,6901
3.1161513328552246,692
3.1548638343811035,7077
3.1742563247680664,692
3.2205657958984375,8021
3.2304282188415527,692
3.2799954414367676,9333
3.2985951900482178,692
3.351801633834839,692
3.404299736022949,11030
3.4159889221191406,692
3.45805025100708,6325
3.477654218673706,692
3.5159337520599365,6901
3.537482261657715,692
3.572939872741699,7653
3.604999303817749,692
3.6370110511779785,7269
3.65877366065979,692
3.7097909450531006,8021
3.7124555110931396,781
3.715864896774292,692
3.751264810562134,8773
3.7711150646209717,692
3.817074775695801,9157
3.837876558303833,692
3.8742170333862305,9333
3.8936429023742676,692
3.9552624225616455,692
3.9992806911468506,29210
4.0501837730407715,6517
4.070417881011963,692
4.121945142745972,6517
4.135812997817993,692
4.178299903869629,7653
4.198994398117065,692
4.235037565231323,6901
4.254763126373291,692
4.296915292739868,5765
4.31936502456665,692
4.352853298187256,7269
4.373764276504517,692
4.436299800872803,7461
4.436578989028931,221
4.436739683151245,692
4.480157375335693,7829
4.490245819091797,692
4.553311824798584,692
4.596953392028809,11590
4.63000226020813,692
4.653421878814697,8021
4.675401449203491,692
4.736305236816406,7829
4.7365193367004395,589
4.740729331970215,692
4.772254228591919,6325
4.793163061141968,692
4.834141492843628,7269
4.854894638061523,692
4.897441387176514,8965
4.919130325317383,692
4.953574180603027,10278
4.9733874797821045,692
5.016955852508545,10085
5.038311958312988,692
5.072186231613159,8581
5.092642784118652,692
5.156193733215332,692
5.197558164596558,7077
5.219385623931885,692
5.252127408981323,4821
5.275501728057861,692
5.3193604946136475,8213
5.350292205810547,692
5.372471570968628,9333
5.396581172943115,692
5.43315315246582,8213
5.454395532608032,692
5.497582197189331,7077
5.520466089248657,692
5.552496910095215,6517
5.573392629623413,692
5.617568492889404,6325
5.634609699249268,692
5.677266597747803,8405
5.6972105503082275,692
5.758736848831177,692
5.794148683547974,10470
5.814496994018555,692
5.856500864028931,6149
5.877336025238037,692
5.913039445877075,5957
5.935457944869995,692
5.98040509223938,37910
5.997875452041626,692
6.035985469818115,5397
6.06301474571228,692
6.099774360656738,8213
6.112381219863892,692
6.160985708236694,7653
6.175609827041626,692
6.2183496952056885,6709
6.2308900356292725,692
6.275736331939697,4453
6.295947074890137,692
6.377274513244629,692
6.3920979499816895,7461
6.414477109909058,692
6.457968235015869,8405
6.472259759902954,1165
6.480156898498535,692
6.513474464416504,8581
6.535760164260864,692
6.578458309173584,7077
6.6006317138671875,692
6.633280038833618,5397
6.655623197555542,692
6.6981589794158936,6901
6.717853307723999,692
6.755547285079956,8213
6.777493476867676,692
6.815486669540405,8581
6.835474014282227,692
6.88639760017395,6709
6.898189544677734,692
6.961355686187744,692
6.994181156158447,6901
7.016730070114136,692
7.0527424812316895,7653
7.09042501449585,692
7.116957664489746,9157
7.139283895492554,692
7.172586441040039,8405
7.19406533241272,692
7.236164569854736,6517
7.258962869644165,692
7.292487621307373,7653
7.31426215171814,692
7.3568434715271,9717
7.377330303192139,692
7.415677547454834,9333
7.433123588562012,692
7.476920127868652,8213
7.497728586196899,692
7.556004047393799,692
7.599119424819946,7461
7.621156454086304,692
7.652441501617432,6325
7.675171136856079,692
7.714696168899536,9525
7.737515687942505,692
7.771475315093994,9525
7.803763151168823,692
7.8362603187561035,7653
7.856773614883423,692
7.908710718154907,5205
7.916390419006348,692
7.956266403198242,46934
7.98105001449585,692
8.016650915145874,10662
8.037814617156982,692
8.074735403060913,7077
8.094774723052979,692
8.156253814697266,692
8.191673755645752,5573
8.214184999465942,692
8.256446838378906,5573
8.278772830963135,692
8.318596601486206,9525
8.322533130645752,837
8.33436369895935,692
8.377432823181152,11974
8.400545120239258,692
8.433817625045776,11222
8.454264879226685,692
8.496623277664185,7653
8.526326417922974,692
8.560890913009644,5957
8.581878185272217,692
8.62945818901062,8021
8.632479190826416,781
8.638728141784668,692
8.676968574523926,8965
8.697733879089355,692
8.752708196640015,692
8.79456615447998,8773
8.831146478652954,692
8.852138042449951,4453
8.8731050491333,692
8.936007976531982,10278
8.936259508132935,142
8.939192295074463,692
8.972508907318115,11590
8.995352983474731,692
9.038594484329224,8965
9.06164836883545,692
9.092674016952515,8405
9.115607738494873,692
9.154466390609741,8773
9.176443576812744,692
9.21914529800415,10470
9.238209247589111,692
9.273986577987671,11590
9.292439222335815,692
9.354278326034546,692
9.397520780563354,16294
9.42083477973938,692
9.454137802124023,14598
9.477372884750366,692
9.518819093704224,16486
9.543873071670532,692
9.575359106063843,14422
9.59779691696167,692
9.650696992874146,9525
9.653218984603882,837
9.655160903930664,692
9.69812822341919,9157
9.722939729690552,692
9.753522396087646,5765
9.773935556411743,692
9.819617509841919,8581
9.859873533248901,692
9.874511003494263,6517
9.895423412322998,692
9.9568030834198,692
9.993903875350952,37542
10.021839141845703,692
10.056309938430786,6325
10.074966669082642,692
10.11795163154602,8773
10.140485763549805,692
10.173555612564087,10085
10.196491003036499,692
10.237862348556519,10278
10.263437032699585,692
10.293183326721191,5573
10.315131902694702,692
10.370636940002441,5573
10.372580528259277,1229
10.378154754638672,692
10.420751810073853,6149
10.433109760284424,357
10.433305978775024,692
10.477064847946167,5957
10.497184991836548,692
10.578089475631714,692
10.592610120773315,10278
10.616271734237671,692
10.656115293502808,8405
10.676438570022583,1165
10.678003549575806,692
10.711458444595337,7829
10.740858793258667,692
10.773749113082886,5397
10.796573877334595,692
10.833842515945435,9717
10.856507778167725,692
10.891653537750244,10085
10.922300815582275,692
10.954378366470337,6325
10.982033491134644,692
11.021084547042847,5573
11.032392978668213,692
11.079688310623169,9157
11.097290515899658,692
11.155645608901978,692
11.197898387908936,11414
11.220625638961792,692
11.255116939544678,14230
11.287804365158081,692
11.314141035079956,12726
11.336816787719727,692
11.393265724182129,13846
11.39941692352295,692
11.43770694732666,12918
11.459745645523071,692
11.500416278839111,8965
11.518905401229858,692
11.550684690475464,6709
11.598567724227905,692
11.615049839019775,7653
11.635359764099121,692
11.678250074386597,4069
11.692890167236328,1173
11.698806047439575,692
11.762644052505493,692
11.796189546585083,14422
11.818355321884155,692
11.858488321304321,16294
11.88188886642456,692
11.916537284851074,15542
11.935250759124756,692
11.9788498878479,15926
12.005425214767456,692
12.03820252418518,16678
12.059746026992798,692
12.106290340423584,12342
12.117571592330933,692
12.152224779129028,13286
12.17373251914978,692
12.217002630233765,7077
12.237070798873901,692
12.2742440700531,12166
12.32150912284851,692
12.353131532669067,692
12.396120548248291,12534
12.419930219650269,692
12.451650142669678,3893
12.476035594940186,692
12.519849300384521,10470
12.542592763900757,692
12.574801206588745,5957
12.596962213516235,692
12.635487079620361,8405
12.657479286193848,692
12.692708969116211,3509
12.723137378692627,692
12.75916862487793,6901
12.779402494430542,692
12.828699111938477,3701
12.83253264427185,805
12.835829019546509,692
12.878470659255981,7653
12.899091005325317,692
12.965342283248901,692
12.999348878860474,7077
13.030321836471558,692
13.054453611373901,2757
13.076139211654663,692
13.128772258758545,7829
13.133147716522217,589
13.141412019729614,692
13.172937154769897,1637
13.195464849472046,692
13.236884593963623,8965
13.260205745697021,692
13.291953086853027,2565
13.316075086593628,692
13.352322101593018,5957
13.37309741973877,692
13.420516014099121,3317
13.436591625213623,421
13.441168069839478,692
13.478208780288696,3893
13.499182939529419,692
13.562815427780151,692
13.593603372573853,11590
13.619065046310425,692
13.656557321548462,8773
13.67730188369751,692
13.712436199188232,7461
13.742775440216064,692
13.77258825302124,8021
13.794389486312866,692
13.845001220703125,5397
13.859730243682861,692
13.891093254089355,5397
13.914559364318848,692
13.958952903747559,33974
13.979949235916138,692
14.024183988571167,3317
14.056537866592407,692
14.07572054862976,10662
14.095966815948486,692
14.157680749893188,692
14.192140579223633,11222
14.215774774551392,692
14.258561849594116,6901
14.282289743423462,692
14.313254356384277,7461
14.335143566131592,692
14.377121448516846,7077
14.39876937866211,692
14.436118602752686,7077
14.457146883010864,692
14.49991226196289,6901
14.521824836730957,692
14.567274808883667,4821
14.574064016342163,692
14.617461442947388,6149
14.637897729873657,692
14.67231822013855,8965
14.692991256713867,692
14.766666412353516,692
14.796570539474487,9717
14.817933082580566,692
14.853896856307983,7829
14.873099088668823,589
14.876113176345825,692
14.919037580490112,8581
14.944746971130371,692
14.97488284111023,5013
14.995445251464844,692
15.038331985473633,6325
15.058700799942017,692
15.095312356948853,4645
15.116193771362305,692
15.158173561096191,5573
15.174915552139282,1229
15.17823576927185,692
15.212610721588135,6325
15.2329683303833,692
15.282329797744751,7461
15.29296588897705,692
15.356379508972168,692
15.392834186553955,13478
15.417396783828735,692
15.453357696533203,12534
15.487112283706665,692
15.517321348190308,8405
15.54052996635437,692
15.591394662857056,5013
15.592539310455322,669
15.595881700515747,692
15.627983093261719,5205
15.662524223327637,692
15.694103956222534,5397
15.716039896011353,692
15.758289098739624,3509
15.791674613952637,692
15.815680742263794,3509
15.836381196975708,692
15.87617564201355,19686
15.900259017944336,862
15.901257038116455,692
15.970152378082275,692
16.00115656852722,39798
16.027461051940918,692
16.05812931060791,36230
16.102298736572266,692
16.11872887611389,27206
16.143637895584106,692
16.176875114440918,31142
16.202463626861572,734
16.20272731781006,692
16.237982988357544,31334
16.26158571243286,692
16.3117356300354,25510
16.312663078308105,894
16.32265329360962,692
16.356234788894653,11222
16.37781524658203,692
16.421854734420776,8773
16.442095041275024,692
16.474724292755127,6709
16.507488489151,692
16.556342601776123,692
16.611987113952637,5397
16.612928867340088,1053
16.619741678237915,692
16.65449333190918,5397
16.67806339263916,692
16.712682962417603,4261
16.74335026741028,692
16.7762930393219,5765
16.798569917678833,692
16.835448026657104,3509
16.857253074645996,692
16.89495277404785,7461
16.919097185134888,692
16.95236349105835,4069
16.973426342010498,692
17.021064519882202,8773
17.036339044570923,692
17.074861764907837,4821
17.104248523712158,692
17.155651569366455,692
17.198726177215576,8021
17.22228217124939,692
17.255122423171997,6901
17.278302907943726,692
17.318129301071167,5205
17.332663774490356,861
17.338276147842407,692
17.374093055725098,5205
17.39625096321106,692
17.435075759887695,5573
17.454366445541382,692
17.49638795852661,4453
17.53136396408081,692
17.56058168411255,4645
17.580936908721924,692
17.616708278656006,5397
17.63263988494873,1053
17.63711667060852,692
17.67542839050293,5573
17.696725130081177,692
17.759812593460083,692
17.79217267036438,7653
17.823885917663574,692
17.855658769607544,5573
17.87779951095581,692
17.917048692703247,4453
17.943279027938843,692
17.970030069351196,13094
18.00400972366333,692
18.047301054000854,7077
18.061503410339355,692
18.093696355819702,5765
18.127265691757202,692
18.152506351470947,7077
18.181897401809692,692
18.214617013931274,5957
18.24902844429016,692
18.277915239334106,8021
18.297632455825806,692
18.36032223701477,692
18.393449783325195,9717
18.416116952896118,692
18.45496416091919,4261
18.477758646011353,692
18.51276993751526,5573
18.535704612731934,692
18.57833695411682,7077
18.60004997253418,692
18.633806943893433,5573
18.656293392181396,692
18.693419218063354,11974
18.717003107070923,692
18.761119842529297,8021
18.774893283843994,692
18.81932306289673,12918
18.840083122253418,692
18.87521457672119,9525
18.894938230514526,692
18.96392846107483,692
18.99639105796814,10470
19.01818299293518,692
19.068647384643555,4261
19.075334072113037,692
19.117114782333374,3893
19.13910961151123,692
19.171279668807983,5397
19.20249319076538,692
19.235535144805908,8581
19.256502628326416,692
19.2925226688385,6149
19.316352605819702,692
19.355494737625122,6149
19.378474950790405,357
19.37850594520569,692
19.419014930725098,8021
19.439470529556274,692
19.4784939289093,6149
19.49941849708557,692
19.56270980834961,692
19.5983567237854,13478
19.619093656539917,692
19.655276775360107,5397
19.68686532974243,692
19.719361782073975,10838
19.74099636077881,692
19.78973889350891,8213
19.79553508758545,692
19.839550018310547,8021
19.860902786254883,692
19.893789052963257,8405
19.92007350921631,692
19.956605434417725,34534
19.996575355529785,692
20.024348258972168,3317
20.035006761550903,692
20.09791350364685,9525
20.101754188537598,692
20.162485599517822,692
20.19434142112732,11030
20.21689534187317,692
20.256716012954712,3141
20.27908706665039,692
20.311031818389893,5205
20.34317111968994,692
20.378649711608887,11590
20.39977240562439,692
20.43568181991577,5957
20.456271171569824,692
20.50165820121765,3509
20.52248215675354,692
20.55580997467041,6149
20.576268672943115,692
20.61805295944214,4261
20.638395309448242,692
20.679994344711304,6901
20.70506978034973,692
20.763058185577393,692
20.810075283050537,6901
20.812496185302734,1109
20.81723952293396,692
20.85073757171631,4069
20.884196519851685,692
20.917314052581787,6901
20.939597606658936,692
20.977574586868286,4069
20.998127698898315,692
21.033699989318848,7461
21.05721163749695,692
21.09281063079834,5205
21.12299370765686,692
21.15584897994995,12166
21.176442623138428,692
21.2223801612854,5013
21.222679615020752,669
21.242297649383545,692
21.275314331054688,9157
21.295364141464233,692
21.35662007331848,692
21.390755653381348,10278
21.424464464187622,692
21.456127643585205,4645
21.47851324081421,692
21.525923252105713,7461
21.53581929206848,692
21.57847309112549,4645
21.600989818572998,692
21.63330101966858,10278
21.654653549194336,692
21.699720859527588,5205
21.738492250442505,692
21.75249743461609,8021
21.783992290496826,692
21.816237926483154,4453
21.832442045211792,109
21.839505434036255,692
21.872044563293457,5205
21.894654989242554,692
21.956605195999146,692
21.995266437530518,45254
22.02005934715271,692
22.050538063049316,3893
22.081186294555664,692
22.112931966781616,3141
22.139618158340454,692
22.176488399505615,4069
22.199217319488525,692
22.241609811782837,5957
22.242366313934326,165
22.264743328094482,692
22.295968055725098,6901
22.318824529647827,692
22.352591276168823,7461
22.383090496063232,692
22.415067434310913,7829
22.4547336101532,692
22.477696418762207,7829
22.49661350250244,692
22.5613694190979,692
22.594823837280273,11030
22.61796736717224,692
22.65007495880127,7269
22.68319869041443,692
22.716000080108643,6709
22.760163068771362,692
22.775434494018555,6517
22.7982120513916,692
22.83701515197754,5205
22.85596227645874,861
22.860788106918335,692
22.892742156982422,3893
22.92633891105652,692
22.961294651031494,5397
22.97885227203369,692
23.017096757888794,4069
23.037566900253296,692
23.07223391532898,4261
23.102587699890137,692
23.165210247039795,692
23.196172952651978,5573
23.217992782592773,692
23.270473957061768,5013
23.272403240203857,669
23.284212589263916,692
23.31596612930298,5013
23.341110944747925,692
23.372062921524048,4645
23.40445828437805,692
23.435287952423096,4645
23.475250005722046,692
23.49683976173401,5205
23.519041538238525,692
23.549837589263916,7269
23.581796407699585,692
23.61880111694336,12726
23.64391827583313,692
23.6790988445282,25126
23.69831609725952,692
23.771400213241577,692
23.799952507019043,49382
23.823514699935913,692
23.85739040374756,36038
23.896841764450073,692
23.9177508354187,29462
23.94175958633423,692
23.982956409454346,55958
24.007498025894165,692
